PID,PROCESSOR,RAM,ROM,OS,BATTERY,SCREEN_SIZE,SCREEN_RESOLUTION,REAR_CAMERA,FRONT_CAMERA,USB_VERSION,FINGERPRINT_SENSOR,EXPANDABLE_STORAGE,REMOVABLE_BATTERY,WIFI,BLUETOOTH,NFC,SIM,SENSORS,HEIGHT,WIDTH,THICKNESS,WEIGHT
1,Exynos 8890 Octa Core,4,32,Android v6.0,3600,5.5,Quad HD 2560x1440p,12,5,Micro USB v2.0,Yes,"Yes, Upto 200GB",No,"Yes, 802.11 a/b/g/n/ac",Yes v4.2,Yes,Dual Nano Sim,"Accelerometer, Barometer, Fingerprint Sensor, Gyro Sensor, Geo-magnetic Sensor, Hall Sensor, HR Sensor, Proximity Sensor, RGB Light Sensor",150.9,72.6,7.7,157
2,A9 Dual Core,2,16,IOS v9.0,2750,5.5,Full HD 1920x1080p,12,5,Lightning Port,Yes,No,No,"Yes, 802.11 a/b/g/n/ac",Yes v4.2,Yes,Single Nano Sim,"Touch ID Fingerprint Sensor, Barometer, Three-axis Gyro Sensor, Accelerometer, Proximity Sensor, Ambient Light Sensor, Digital Compass",158.2,77.9,7.3,192
3,Snapdragon 820 Quad Core,4,64,Android v6.0,3000,5.2,Quad HD 2560x1440p,12,5,USB Type C,Yes,"Yes, Upto 256GB",No,"Yes, 802.11 a/b/g/n/ac",Yes v4.2,Yes,Single Nano Sim,"Fingerprint, accelerometer, gyro, proximity, compass",145.9,71.9,9,161
4,Snapdragon 650,3,32,Android v6.0,2620,5,Full HD 1920x1080p,23,13,Micro USB v2.0,Yes,"Yes, Upto 256GB",No,"Yes, 802.11 a/b/g/n/ac",Yes v4.2,Yes,Single Nano Sim,"Fingerprint, accelerometer, gyro, proximity, barometer, compass",142.7,69.4,7.9,153
5,Snapdragon 810,3,32,Android v5.1.1,3760,5.4,Quad HD 2560x1440p,21,5,Micro USB v2.0,No,"Yes, Upto 256GB",No,"Yes, 802.11 a/b/g/n/ac",Yes v4.1,Yes,Single Nano Sim,"Accelerometer, Ambient Light Sensor, Gyroscope, Hall Effect, Magnetometer, Infrared Sensor",149.8,78,9.2,169
6,Exynos 7420 Octa Core,3,32,Android v5.1.1,2550,5.1,Quad HD 2560x1440p,16,5,Micro USB v2.0,Yes,No,No,"Yes, 802.11 a/b/g/n/ac",Yes v4.1,Yes,Single Nano Sim,"Proximity Sensor, Geo-magnetic, RGB Ambient Light Sensor, Heart Rate Monitor, Hall Sensor, Barometer, Accelerometer, Gyroscope, Finger Scanner",143.4,70.5,6.8,138
7,A8 Dual Core,1,16,IOS v9.0,1810,4.7,HD 1334x750p,8,1.2,Lightning Port,Yes,No,No,"Yes, 802.11 a/b/g/n/ac",Yes v4,Yes,Single Nano Sim,"Ambient Light Sensor, Proximity Sensor, Three-axis Gyro Sensor, Accelerometer, Fingerprint Identity Sensor, Barometer",138.1,67,6.9,129
8,Snapdragon 810,3,32,Android v5.0,2840,5,Full HD 1920x1080p,20,4,Micro USB v2.0,Yes,"Yes, Upto 256GB",No,"Yes, 802.11 a/b/g/n/ac",Yes v4.1,Yes,Single Nano Sim,"Accelerometer, gyro, proximity, compass",144.6,69.7,9.6,157
9,Snapdragon 820 Quad Core,6,64,Android v6.0,3000,5.5,Full HD 1920x1080p,16,8,USB Type C,Yes,No,No,"Yes, 802.11 a/b/g/n/ac",Yes v4.2,Yes,Dual Nano Sim,"Fingerprint, accelerometer, gyro, proximity, compass, barometer",152.7,74.7,7.4,158
10,A8 Dual Core,1,16,IOS v7.0,1560,4,qHD 1136x640p,8,1.2,Lightning Port,Yes,No,No,"Yes, 802.11 a/b/g/n/ac",Yes v4.0,No,Single Nano Sim,"Three-axis Gyro Sensor, Digital Compass, Proximity Sensor, Ambient Light Sensor, Accelerometer, Fingerprint Identity Sensor",123.8,58.6,7.6,112
